Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
11297320,"The Song of the Quarkbeast (The Last Dragonslayer, #2)",Jasper Fforde,"Fforde, Jasper",,"=""1444707221""","=""9781444707229""",0,Hodder & Stoughton,Hardcover,290,2011,2011,,2013/01/28,to-read,to-read (#39),to-read,,,,0,0
12953520,Year Zero,Rob  Reid,"Reid, Rob",,"=""0345534417""","=""9780345534415""",2,Del Rey,Hardcover,364,2012,2012,2013/01/28,2012/12/26,,,read,,,,1,0
5325193,The Gonzo Tapes: The Life and Work of Dr. Hunter S. Thompson,Hunter S. Thompson,"Thompson, Hunter S.",,"=""1603991581""","=""9781603991582""",0,Shout Factory,Audio CD,,2008,2008,,2012/12/26,to-read,to-read (#38),to-read,,,,0,0
7752,"Fear and Loathing in America: The Brutal Odyssey of an Outlaw Journalist - The Gonzo Letters, Volume II, 1968-1976",Hunter S. Thompson,"Thompson, Hunter S.","Douglas Brinkley, David Halberstam","=""0684873168""","=""9780684873169""",5,Simon & Schuster,Paperback,784,2001,2000,,2012/12/26,,,read,,,,1,0
7748,Fear and Loathing: On the Campaign Trail '72,Hunter S. Thompson,"Thompson, Hunter S.",,"=""0446698229""","=""9780446698221""",5,Grand Central Publishing,Paperback,481,2006,1973,,2012/12/26,,,read,,,,1,0
10882,Hell's Angels,Hunter S. Thompson,"Thompson, Hunter S.",Sylvie Durastanti,"=""222109073X""","=""9782221090732""",5,Robert Laffont,Paperback,295,2000,1966,,2012/12/26,,,read,,,,1,0
18864,The Rum Diary,Hunter S. Thompson,"Thompson, Hunter S.",,"=""0684856476""","=""9780684856476""",5,Scribner / Simon & Schuster,Paperback,224,1999,1998,,2012/12/26,,,read,,,,1,0
7745,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Hunter S. Thompson,"Thompson, Hunter S.",Ralph Steadman,"=""0679785892""","=""9780679785897""",5,Vintage Books,Paperback,204,1998,1971,,2012/12/26,,,read,,,,1,0
7831589,"Wyrd Sisters (Discworld, #6)",Terry Pratchett,"Pratchett, Terry",,"=""1435274709""","=""9781435274709""",0,Paw Prints,Library Binding,265,2008,1988,,2012/12/26,to-read,to-read (#36),to-read,,,,0,0
52311,The Autobiography of Benjamin Franklin,Benjamin Franklin,"Franklin, Benjamin","Leonard W. Labaree, Ralph L. Ketcham, Helene H. Fineman, Helen C. Boatfield, Edmund S. Morgan","=""0300098588""","=""9780300098587""",0,Yale University Press,Paperback,223,2003,1791,,2012/12/26,to-read,to-read (#35),to-read,,,,0,0
